DÍA 1;;;;;;DÍA 2;;;;;;DÍA 3;;;;;;DÍA 4;;;;;
Medición 1;;;Medición 2;;;Medición 3;;;Medición 4;;;Medición 5;;;Medición 6;;;Medición 7;;;Medición 8;;
=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;;=== REGISTRO ===;;
AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado;AO;Humedad%;Estado
310;65.39;MEDIO;310;65.39;MEDIO;263;79.01;MEDIO;272;76.40;MEDIO;331;59.31;SECO;330;59.60;SECO;343;55.84;SECO;221;91.17;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;262;79.29;MEDIO;272;76.40;MEDIO;331;59.31;SECO;329;59.89;SECO;343;55.84;SECO;221;91.17;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;262;79.29;MEDIO;272;76.40;MEDIO;331;59.31;SECO;329;59.89;SECO;343;55.84;SECO;221;91.17;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;261;79.58;MEDIO;272;76.40;MEDIO;331;59.31;SECO;330;59.60;SECO;343;55.84;SECO;221;91.17;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;262;79.29;MEDIO;272;76.40;MEDIO;331;59.31;SECO;330;59.60;SECO;343;55.84;SECO;224;90.30;EXCESO
310;65.39;MEDIO;311;65.10;MEDIO;262;79.29;MEDIO;273;76.11;MEDIO;331;59.31;SECO;330;59.60;SECO;343;55.84;SECO;224;90.30;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;263;79.01;MEDIO;273;76.11;MEDIO;331;59.31;SECO;330;59.60;SECO;344;55.55;SECO;224;90.30;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;263;79.01;MEDIO;274;75.82;MEDIO;331;59.31;SECO;331;59.31;SECO;344;55.55;SECO;225;90.01;EXCESO
311;65.10;MEDIO;310;65.39;MEDIO;263;79.01;MEDIO;274;75.82;MEDIO;331;59.31;SECO;331;59.31;SECO;344;55.55;SECO;225;90.01;EXCESO
310;65.39;MEDIO;311;65.10;MEDIO;263;79.01;MEDIO;274;75.82;MEDIO;332;59.02;SECO;332;59.02;SECO;344;55.55;SECO;223;90.59;EXCESO
311;65.10;MEDIO;311;65.10;MEDIO;263;79.01;MEDIO;275;75.53;MEDIO;332;59.02;SECO;331;59.31;SECO;344;55.55;SECO;223;90.59;EXCESO
310;65.39;MEDIO;311;65.10;MEDIO;264;78.72;MEDIO;275;75.53;MEDIO;331;59.31;SECO;332;59.02;SECO;345;55.26;SECO;222;90.88;EXCESO
311;65.10;MEDIO;311;65.10;MEDIO;264;78.72;MEDIO;275;75.53;MEDIO;331;59.31;SECO;332;59.02;SECO;344;55.55;SECO;223;90.59;EXCESO
310;65.39;MEDIO;311;65.10;MEDIO;264;78.72;MEDIO;275;75.53;MEDIO;332;59.02;SECO;332;59.02;SECO;344;55.55;SECO;223;90.59;EXCESO
310;65.39;MEDIO;311;65.10;MEDIO;265;78.43;MEDIO;276;75.24;MEDIO;331;59.31;SECO;333;58.73;SECO;345;55.26;SECO;223;90.59;EXCESO
311;65.10;MEDIO;312;64.81;SECO;265;78.43;MEDIO;276;75.24;MEDIO;332;59.02;SECO;333;58.73;SECO;345;55.26;SECO;223;90.59;EXCESO
310;65.39;MEDIO;309;65.68;MEDIO;264;78.72;MEDIO;276;75.24;MEDIO;331;59.31;SECO;334;58.44;SECO;344;55.55;SECO;224;90.30;EXCESO
310;65.39;MEDIO;312;64.81;SECO;264;78.72;MEDIO;277;74.95;MEDIO;332;59.02;SECO;333;58.73;SECO;345;55.26;SECO;224;90.30;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;265;78.43;MEDIO;277;74.95;MEDIO;332;59.02;SECO;334;58.44;SECO;345;55.26;SECO;223;90.59;EXCESO
311;65.10;MEDIO;312;64.81;SECO;265;78.43;MEDIO;277;74.95;MEDIO;332;59.02;SECO;334;58.44;SECO;345;55.26;SECO;222;90.88;EXCESO
311;65.10;MEDIO;309;65.68;MEDIO;266;78.14;MEDIO;277;74.95;MEDIO;332;59.02;SECO;334;58.44;SECO;346;54.97;SECO;222;90.88;EXCESO
310;65.39;MEDIO;312;64.81;SECO;265;78.43;MEDIO;277;74.95;MEDIO;332;59.02;SECO;335;58.15;SECO;346;54.97;SECO;223;90.59;EXCESO
311;65.10;MEDIO;310;65.39;MEDIO;266;78.14;MEDIO;278;74.66;MEDIO;332;59.02;SECO;335;58.15;SECO;345;55.26;SECO;223;90.59;EXCESO
310;65.39;MEDIO;312;64.81;SECO;266;78.14;MEDIO;278;74.66;MEDIO;332;59.02;SECO;335;58.15;SECO;346;54.97;SECO;224;90.30;EXCESO
311;65.10;MEDIO;310;65.39;MEDIO;267;77.85;MEDIO;278;74.66;MEDIO;333;58.73;SECO;335;58.15;SECO;346;54.97;SECO;224;90.30;EXCESO
311;65.10;MEDIO;312;64.81;SECO;266;78.14;MEDIO;278;74.66;MEDIO;332;59.02;SECO;336;57.86;SECO;346;54.97;SECO;223;90.59;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;267;77.85;MEDIO;279;74.37;MEDIO;332;59.02;SECO;336;57.86;SECO;346;54.97;SECO;222;90.88;EXCESO
310;65.39;MEDIO;312;64.81;SECO;267;77.85;MEDIO;279;74.37;MEDIO;332;59.02;SECO;335;58.15;SECO;346;54.97;SECO;221;91.17;EXCESO
310;65.39;MEDIO;310;65.39;MEDIO;267;77.85;MEDIO;279;74.37;MEDIO;332;59.02;SECO;336;57.86;SECO;346;54.97;SECO;219;91.75;EXCESO
311;65.10;MEDIO;313;64.53;SECO;268;77.56;MEDIO;279;74.37;MEDIO;332;59.02;SECO;336;57.86;SECO;346;54.97;SECO;219;91.75;EXCESO
311;65.10;MEDIO;310;65.39;MEDIO;268;77.56;MEDIO;280;74.08;MEDIO;332;59.02;SECO;336;57.86;SECO;346;54.97;SECO;218;92.04;EXCESO
311;65.10;MEDIO;313;64.53;SECO;268;77.56;MEDIO;280;74.08;MEDIO;333;58.73;SECO;337;57.57;SECO;346;54.97;SECO;219;91.75;EXCESO
311;65.10;MEDIO;313;64.53;SECO;268;77.56;MEDIO;280;74.08;MEDIO;332;59.02;SECO;337;57.57;SECO;346;54.97;SECO;218;92.04;EXCESO
311;65.10;MEDIO;311;65.10;MEDIO;268;77.56;MEDIO;280;74.08;MEDIO;332;59.02;SECO;337;57.57;SECO;347;54.68;SECO;218;92.04;EXCESO
311;65.10;MEDIO;313;64.53;SECO;268;77.56;MEDIO;281;73.79;MEDIO;332;59.02;SECO;337;57.57;SECO;347;54.68;SECO;217;92.33;EXCESO
